tahun,bulan,jenis_komoditas,nama_komoditas,nilai_ekspor
2005,"Juli","Hasil industri","Produk kayu olahan",207520
2005,"Juli","Hasil industri","Alas kaki",117613
2005,"Juli","Hasil industri","Damar tiruan, bahan plastik",125154
2005,"Juli","Hasil industri","Furnitur",127625
2005,"Juli","Hasil industri","Kapal laut dan sejenisnya",3551
2005,"Juli","Hasil industri","Bahan kertas",2947
2005,"Juli","Hasil industri","Suku cadang kendaraan",67432
2005,"Juli","Hasil industri","Kendaraan bermotor roda 4 dan lebih",101856
2005,"Juli","Hasil industri","Emas batangan",0
2005,"Juli","Hasil industri","Suku cadang mesin",64612
2005,"Juli","Hasil industri","Asam berlemak",25138
2005,"Juli","Hasil industri","Komputer dan bagiannya",0
2005,"Juli","Hasil industri","Sabun mandi dan cuci",27751
2005,"Juli","Hasil industri","Minyak atsiri dan lainnya",9935
2005,"Juli","Hasil industri","Gelas dan barang dari gelas",34832
2005,"Juli","Hasil industri","Pupuk",8084
2005,"Juli","Hasil industri","Perlengkapan olahraga",22113
2005,"Juli","Hasil industri","Produk keramik",24231
2005,"Juli","Hasil industri","Makanan ternak",4613
2005,"Juli","Hasil industri","Margarin dan lemak lainnya",9834
2005,"Juli","Hasil industri","Produk farmasi",5413
2005,"Juli","Hasil industri","Barang dari logam mulia",4970
2005,"Juli","Hasil industri","Kulit dan barang dari kulit",8755
2005,"Juli","Hasil industri","Preparat pembasmi kuman",1886
2005,"Juli","Hasil industri","Pesawat udara dan bagiannya",5215
2005,"Juli","Hasil industri","Bahan celup organik sintetik",7664
2005,"Juli","Hasil industri","Semen",8140
2005,"Juli","Hasil industri","Kendaraan bermotor roda 2 dan 3",18750
2005,"Juli","Hasil industri","Barang anyaman",0
2005,"Juli","Hasil industri","Rotan olahan",0
2005,"Juli","Hasil industri","Peti kemas",0
2005,"Juli","Hasil industri","Gliserol dan larutan alkali",0
2005,"Juli","Hasil industri","Hasil industri lainnya",1278624
2005,"Juli","Hasil pertambangan dan sektor lainnya","Batubara",361576
2005,"Juli","Hasil pertambangan dan sektor lainnya","Biji tembaga",287576
2005,"Juli","Hasil pertambangan dan sektor lainnya","Biji nikel",4513
2005,"Juli","Hasil pertambangan dan sektor lainnya","Bauksit",1502
2005,"Juli","Hasil pertambangan dan sektor lainnya","Granit",1492
2005,"Juli","Hasil pertambangan dan sektor lainnya","Hasil pertambangan lainnya",40547
2005,"Juli","Hasil pertambangan dan sektor lainnya","Hasil sektor lainnya ",343
2005,"Juli","Ekspor yang tidak dapat diklasifikasikan ","Ekspor yang tidak dapat diklasifikasikan",53259
2005,"Agustus","Hasil pertanian","Biji coklat",48525
2005,"Agustus","Hasil pertanian","Udang",104424
2005,"Agustus","Hasil pertanian","Biji kopi",49378
2005,"Agustus","Hasil pertanian","Ikan dan lain-lain",2413
2005,"Agustus","Hasil pertanian","Rempah-rempah",9233
2005,"Agustus","Hasil pertanian","Teh",7704
2005,"Agustus","Hasil pertanian","Bahan nabati",569
2005,"Agustus","Hasil pertanian","Buah-buahan",40
2005,"Agustus","Hasil pertanian","Tembakau",17693
2005,"Agustus","Hasil pertanian","Sayur-sayuran",2287
2005,"Agustus","Hasil pertanian","Damar dan getah damar",825
2005,"Agustus","Hasil pertanian","Karet alam",432
2005,"Agustus","Hasil pertanian","Hasil pertanian lainnya",614
2005,"Agustus","Hasil industri","Minyak sawit",499070
2005,"Agustus","Hasil industri","Tekstil dan produk tekstil",412263
2005,"Agustus","Hasil industri","Peralatan listrik, alat ukur dan optik",323428
2005,"Agustus","Hasil industri","Produk logam dasar ",348249
2005,"Agustus","Hasil industri","Karet olahan ",27736
2005,"Agustus","Hasil industri","Kertas dan barang dari kertas",15815
2005,"Agustus","Hasil industri","Makanan olahan",168648
2005,"Agustus","Hasil industri","Bahan kimia",166849
2005,"Agustus","Hasil industri","Produk kayu olahan",198381
2005,"Agustus","Hasil industri","Alas kaki",80992
2005,"Agustus","Hasil industri","Damar tiruan, bahan plastik",83097
2005,"Agustus","Hasil industri","Furnitur",92088
2005,"Agustus","Hasil industri","Kapal laut dan sejenisnya",38277
2005,"Agustus","Hasil industri","Bahan kertas",6479
